"theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","alpha8","a1","a2","a3","a4","a5","a6","a7","a8","d1","d2","d3","d4","d5","d6","d7","d8","y"
0.012980084,0.12974182,0.30542287,-0.12018304,0.12778983,0.17093435,0.22122157,0.31018343,0,0,0.39269908,0.39269908,0.39269908,-0.39269908,0.39269908,-0.39269908,0.30621417,0.31696604,0.31254386,0.26435737,0,0.30771813,0.29446534,0.30926783,0,0.31060634,0.30723031,0.30954312,0,0.30070532,0,0.3064836,2.1154849
-0.10553927,-0.055371253,-0.084897843,0.033343806,-0.050787529,0.29889172,0.06642215,-0.16495767,-0.39269908,0.39269908,0,0,0.39269908,0,-0.39269908,-0.39269908,0,0,0.28354787,0.30652538,0.29096245,0.31921608,0.30798109,0.31170886,0.30786709,0.29000724,0,0.28924393,0.28062147,0,0,0,1.8580352
-0.12725823,-0.032750785,-0.035413944,-0.18450137,-0.16265347,0.097123059,-0.024296566,0.054653458,0,-0.39269908,-0.39269908,0,0,-0.39269908,0,-0.39269908,0.32132373,0,0,0.30035947,0.29488364,0,0.32298754,0.32009467,0.30450874,0,0.31326046,0.30009853,0.29885271,0.29316886,0,0,1.936072
-0.20297179,-0.20562041,-0.11035469,0.064947839,0.18904852,-0.068273002,-0.15470003,-0.061292397,0.39269908,-0.39269908,0,0,0,0,-0.39269908,0,0.29962351,0,0.29784797,0.29194061,0,0,0,0,0,0,0.28543356,0.28061454,0,0.33168346,0,0.3130948,1.2383516
0.28726662,0.090539689,-0.086936565,-0.30226688,-0.2441724,-0.25720474,-0.0085001821,-0.23425367,0,0.39269908,-0.39269908,-0.39269908,0,0.39269908,0.39269908,0.39269908,0.31394809,0.3037079,0.28330577,0,0.28864227,0,0.32545937,0,0.32849477,0,0.31242424,0.26706904,0,0.30545762,0,0.31569852,1.7687807
0.26493439,-0.14113264,-0.11384646,-0.18745669,-0.19548567,-0.050124397,0.13441749,-0.27871772,-0.39269908,0.39269908,0.39269908,0.39269908,0.39269908,-0.39269908,-0.39269908,0,0,0.31795829,0,0.28920531,0,0.28829331,0.29654525,0.27799466,0.28703179,0.2910528,0,0.31316126,0.30140082,0,0,0.2895805,1.7600676
0.30499704,0.26273914,0.03406615,0.15160398,0.17648376,-0.129305,0.12463367,-0.095841532,0.39269908,0,-0.39269908,-0.39269908,-0.39269908,0,0,-0.39269908,0.3205904,0.29724491,0,0.26452388,0,0.32105468,0.30008937,0.2990888,0,0.29554256,0.29711292,0,0,0.28450389,0.30519202,0.28406892,1.6426922
-0.26797419,-0.055060608,0.10956111,-0.20805288,-0.15211386,0.050433887,0.04064703,0.17238662,0.39269908,0.39269908,0.39269908,-0.39269908,0,0,0.39269908,0,0.30166541,0.30797895,0.32228699,0.33575298,0.30610796,0.296091,0.28330818,0.27776063,0,0.298533,0.30324541,0.33789496,0.26363023,0.32520321,0,0,2.8801436
0.30621692,0.030750589,-0.28100967,0.14081575,-0.1855952,0.30303946,0.034160069,-0.15485417,-0.39269908,0.39269908,0.39269908,-0.39269908,0,0.39269908,-0.39269908,0.39269908,0.3042615,0,0.29605512,0,0,0.29791993,0.28529872,0,0,0.31455033,0,0.30893834,0,0.309762,0,0.3122992,1.306351
-0.0086963878,0.2380284,0.039246867,-0.11236712,0.17127847,-0.27822291,-0.14589464,0.27595806,-0.39269908,0.39269908,-0.39269908,-0.39269908,0.39269908,-0.39269908,-0.39269908,-0.39269908,0.31023179,0.32574671,0,0.27931009,0.29429795,0.29284129,0.29798579,0.31111166,0,0.30604679,0.30130538,0.29251883,0,0.29709903,0,0.3039255,2.0548905
0.073159037,-0.035428884,0.19271726,0.01699791,-0.20105634,-0.056772094,0.24726829,0.13935303,-0.39269908,-0.39269908,0,0,-0.39269908,0,0,0.39269908,0,0,0.29676336,0.30123122,0.30978243,0.2923949,0.30045512,0.3098096,0,0,0.28263453,0,0.2736124,0.29966837,0,0,1.5841978
0.19827856,-0.13368338,0.050521475,0.25609373,0.18540585,0.28458638,0.2826653,0.039362552,0,0,0,0,-0.39269908,0,0.39269908,-0.39269908,0.32366399,0,0.29661586,0.29819021,0,0,0.2835345,0.29160229,0,0,0,0,0,0.29048074,0.28406658,0.30721142,1.3061727
0.26958344,0.08395922,-0.10080527,-0.28735912,0.23979269,0.1607673,0.24635908,-0.062011497,0.39269908,0.39269908,0.39269908,0,0,-0.39269908,0.39269908,0.39269908,0.3118055,0.29445262,0.29960334,0.3035323,0.32594973,0.28617091,0.32208463,0,0,0,0,0,0,0,0,0,1.8802429
-0.02460118,-0.038437121,-0.10123578,0.016844468,-0.26668134,0.31108439,0.15681472,-0.21117687,0.39269908,0.39269908,0,0.39269908,0,-0.39269908,0,-0.39269908,0.2941035,0,0,0.3224772,0.29481251,0.30176451,0.32849792,0.28091614,0.29016022,0,0,0.30854842,0.27610073,0,0,0,1.7424559
-0.17463793,-0.26388192,0.23702433,0.12834893,0.14292684,0.1096563,0.13512958,-0.24868293,0,0,0,0.39269908,-0.39269908,0,0.39269908,0.39269908,0.30837074,0,0.30371009,0.28930898,0.30001687,0.30345541,0.29140722,0.30434195,0,0,0.33163569,0,0.30411974,0,0,0,2.1431958
-0.035925137,0.020336905,-0.0029174959,-0.025508492,-0.20798081,-0.19756754,0.14583339,-0.048779911,0.39269908,0.39269908,-0.39269908,-0.39269908,0,-0.39269908,-0.39269908,0,0.28954705,0,0.30544633,0,0,0.30116332,0.31016478,0.29987284,0,0,0,0.29381666,0,0,0.31793851,0.30577764,1.6511102
-0.16662696,-0.083662736,0.057264419,-0.14090474,-0.053342177,0.088569673,0.10389966,0.14447267,-0.39269908,0.39269908,-0.39269908,0.39269908,-0.39269908,0,0.39269908,-0.39269908,0.30577915,0,0.31155685,0.27434187,0,0,0,0.27132251,0,0,0.27836284,0.28471781,0.32029326,0,0,0.29875996,1.4339048
-0.033264305,0.13032567,0.065113346,-0.17087875,0.084844782,-0.29681518,0.27638194,-0.0075974106,-0.39269908,0,-0.39269908,0,-0.39269908,0.39269908,0.39269908,0.39269908,0.32136266,0.27973827,0,0.29833159,0.31666986,0.28693077,0.27313206,0.2942675,0,0.28172358,0,0,0,0,0.29586874,0.29995586,1.7968704
0.17811104,0.20276441,-0.13822341,-0.22725355,0.097966802,-0.29482965,-0.28197571,0.24095666,0.39269908,-0.39269908,0.39269908,0,0,0.39269908,0,0,0.30923155,0.31281881,0.32168229,0.31956292,0.29237487,0.29588297,0,0.3108325,0.28520251,0.30552666,0.30518151,0.30233264,0.3246267,0,0.30246729,0.30488195,2.7335487
-0.015201465,0.23462238,-0.028769594,0.27470578,0.095450731,0.1432243,0.082505319,-0.032100677,0.39269908,0,0.39269908,0,0,0,0,0,0.31778608,0.30224329,0.31294856,0.29707784,0.28344714,0.32765704,0.29700336,0,0,0.30628513,0,0.29101806,0.2633374,0.29929442,0.29737281,0,2.166929
