"theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","alpha8","a1","a2","a3","a4","a5","a6","a7","a8","d1","d2","d3","d4","d5","d6","d7","d8","y"
0.91149323,1.06086,1.3355287,-0.4490161,-0.50807586,-0.38213198,-1.0768877,-0.53588909,0,0,0,1.5707963,-0.78539816,-1.5707963,-1.5707963,0,0.33322401,0.20458755,0.27861041,0.29743933,0.30517041,0,0,0.42285891,0,0,0,0.33519365,0,0,0.29980261,0.26290609,1.574924
-0.2754934,0.48995586,0.57382334,-0.44061679,-0.71250896,0.61310148,-0.027389343,1.4814393,1.5707963,0.78539816,-1.5707963,1.5707963,0.78539816,0.78539816,1.5707963,-1.5707963,0.32476271,0.2871215,0.3511917,0.35104328,0.39461534,0,0.19928304,0.30243538,0.31523151,0,0.31495562,0.37432616,0.34092582,0,0,0,1.5099156
1.5329691,0.410968,-1.2230826,-0.9081414,-1.2754585,-1.5451422,-0.79959508,0.93882452,-1.5707963,0.78539816,0.78539816,0.78539816,-1.5707963,0,0.78539816,0.78539816,0.28760324,0,0,0.32540995,0.26871035,0,0,0.3346923,0,0.24244697,0,0,0,0,0.25914999,0.41784493,0.69844585
0.85870391,-0.24008696,-1.3366089,1.1434099,0.16830775,1.3148933,1.4492862,1.3847366,0.78539816,1.5707963,0.78539816,0,-1.5707963,-0.78539816,0,-0.78539816,0.32623409,0.31699336,0,0.19972283,0,0.23224134,0.2949038,0.22781565,0.40650802,0,0,0.26475413,0,0,0.32460443,0.24782167,0.57570463
-0.29918183,1.3407595,-0.49862643,1.3547508,-0.9670791,0.90187454,-0.37920118,1.0572492,0.78539816,-0.78539816,-0.78539816,-0.78539816,1.5707963,-0.78539816,1.5707963,1.5707963,0.32229347,0,0,0.32548997,0,0.30632478,0.28530772,0,0,0.14231666,0.37431349,0.31056263,0.2843464,0.26333048,0.23533717,0.22052136,1.2923149
1.4560861,-0.56739977,-1.5541702,1.4039467,-0.3699867,-1.1545826,0.54730764,0.016139857,1.5707963,-0.78539816,-1.5707963,-0.78539816,-1.5707963,-1.5707963,0,0.78539816,0.31304785,0.379491,0.20957315,0,0,0.27608948,0.33867996,0.5097725,0.27417287,0.30463714,0.29370035,0.23246885,0,0,0,0.30159149,1.7485301
1.038941,0.50865265,0.65152219,-1.4585097,0.67416243,-1.0767781,1.3049594,0.99387946,0,0.78539816,-0.78539816,1.5707963,-0.78539816,0.78539816,-0.78539816,-1.5707963,0,0.38996846,0.25369115,0.30377142,0.35351341,0.27437933,0.24267777,0.30883316,0,0.27732812,0,0.31344176,0.28786665,0,0,0,1.5384871
-0.20984678,1.1137046,0.42374064,-0.18157773,-1.2904049,-1.4207921,-0.0071281729,-0.42268182,-0.78539816,0,0,0,0.78539816,0.78539816,-1.5707963,-1.5707963,0.29161837,0.21129085,0,0.33552654,0.43001184,0.34488166,0.29176073,0,0.43454693,0.3162479,0,0,0,0.11679069,0,0,0.81873514
1.2265459,-0.57430358,-1.3476558,0.83183902,0.63109632,0.81904692,-0.73739456,0.19271931,0,0,-1.5707963,-1.5707963,1.5707963,-1.5707963,-0.78539816,0.78539816,0.25196321,0.17872796,0.34876854,0.29376521,0.29353482,0.35628729,0.28401988,0.22112281,0,0.39230429,0,0,0.25408293,0.3903451,0.18880779,0,1.4229413
0.68627095,1.3692908,1.5036707,1.2214501,-1.3963897,-1.4241685,-0.20633327,0.47502073,0.78539816,-0.78539816,0,0,1.5707963,-1.5707963,-1.5707963,-0.78539816,0.22645047,0.26295903,0,0.25691766,0.28193382,0.26916965,0.23681783,0.21617126,0.33546668,0.28978557,0.29146831,0.3985921,0,0.34123012,0.30037129,0.21638684,0.81475737
