"theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","alpha8","a1","a2","a3","a4","a5","a6","a7","a8","d1","d2","d3","d4","d5","d6","d7","d8","y"
-0.31333234,-0.86743113,1.2164455,-0.68514022,-1.2145388,1.3149753,-0.31510006,0.83849933,-0.78539816,-0.78539816,0.78539816,-1.5707963,-0.78539816,0,1.5707963,-0.78539816,0.20301398,0.10886733,0,0.26521386,0.25733549,0.26225458,0.15339598,0,0.34254157,0,0.26103152,0,0.23255437,0.39255633,0.48385626,0,1.70801
0.29568881,-0.35773106,0.62243807,-0.18687308,0.81677021,-1.3029748,0.9452274,-0.59712173,1.5707963,0,-1.5707963,-0.78539816,1.5707963,-1.5707963,1.5707963,-0.78539816,0.35240181,0.36508214,0.27166872,0.35287093,0,0.43220242,0,0.26476443,0,0.37155392,0.3361314,0.39489811,0,0,0.44923837,0.26286048,1.94653
-1.2489758,0.58527562,0.40067842,-1.3724187,-0.66814948,-1.536149,-0.44745873,0.53392379,1.5707963,-1.5707963,-0.78539816,1.5707963,0.78539816,0,0,0,0.3132951,0.29632966,0.28199334,0.40617533,0.30327056,0,0.23139742,0.21639126,0,0,0.18493834,0,0,0,0,0.26706314,1.4343103
-0.72758114,-1.3775695,0.72714641,0.35423128,0.24709559,-0.24986987,0.74642273,0.74737229,1.5707963,-1.5707963,1.5707963,-0.78539816,-1.5707963,0,0,-1.5707963,0.32778162,0.33096895,0.38678194,0.35293065,0.31139127,0.30278325,0,0,0.44613291,0.24450048,0,0.29563898,0.39966146,0,0.27255518,0,1.8373552
0.092724164,0.18506355,0.18638248,0.3624966,0.93220927,0.51864369,-1.0751212,0.87916897,1.5707963,-1.5707963,0.78539816,-0.78539816,-1.5707963,1.5707963,0.78539816,-0.78539816,0.21926405,0.43908493,0.24388513,0,0.41886694,0.2819571,0,0.35326213,0,0.050852163,0.37770233,0.19309096,0.22518125,0.33508403,0.1835345,0.28302354,1.4092364
-0.66590526,-1.5166027,1.3409562,-0.33492858,0.58945214,1.4804352,0.2606271,0.97951425,0.78539816,1.5707963,0.78539816,0.78539816,1.5707963,0,-1.5707963,-0.78539816,0.25385155,0.27070639,0.2266981,0.27336485,0.32240802,0,0,0.36633472,0.21273546,0.30100653,0,0.30409009,0.30453077,0.20600652,0.19492453,0,1.821011
0.81669688,0.60615667,-0.50985924,1.0604443,0.63209535,-1.2398417,0.16443341,-0.96925431,-1.5707963,0.78539816,0,1.5707963,-0.78539816,-0.78539816,1.5707963,0.78539816,0.22284587,0.38753613,0,0.38973318,0.34721973,0,0.26036154,0.25957881,0,0,0,0.24873825,0.3154681,0.21328686,0.25069479,0,1.725069
-1.2032911,-1.2817421,-0.33845488,1.0130712,-0.74489739,-0.24373537,0.17637762,-1.2847531,-0.78539816,0,1.5707963,0,0.78539816,-0.78539816,0,1.5707963,0.37830479,0,0.3459303,0.27443619,0.25335126,0.21686473,0.38059836,0,0,0,0.25023461,0,0,0.30472741,0.28541313,0.27837841,1.5022151
-0.089026144,-0.86429594,0.50258212,-0.84489805,-0.20279081,0.32294344,-0.96173284,-0.34961459,-1.5707963,-1.5707963,0.78539816,1.5707963,0,1.5707963,1.5707963,-1.5707963,0.22407619,0.31914062,0.1983584,0.24985869,0.3247691,0,0,0.18985336,0.3361192,0,0.44349208,0,0.34486174,0,0,0,1.0307695
1.0694079,0.48643795,1.1385241,-0.2663118,0.86706872,-1.0242632,1.1367231,0.8800617,0.78539816,-1.5707963,0,-0.78539816,0,-0.78539816,-0.78539816,0.78539816,0.2307717,0,0,0.25444625,0.35522769,0,0.28784243,0.26224407,0,0,0.20901981,0.35595673,0.20368669,0,0.39152297,0.41099958,1.1624022
-0.64888179,-1.2880974,-0.33831382,0.24228088,0.51074666,1.2880654,-0.19960634,0.43715451,-0.78539816,0.78539816,0.78539816,1.5707963,0,-1.5707963,0.78539816,1.5707963,0,0,0.26305347,0.41991596,0,0,0,0.20311317,0,0.38063981,0,0,0.39858025,0,0,0.43959428,0.74204316
-0.82301331,0.047685985,0.35222415,1.0707654,1.3114346,-0.13346887,-0.11420834,0.013562327,-1.5707963,0,0,-1.5707963,-1.5707963,0.78539816,-1.5707963,-0.78539816,0.26782573,0,0.26143511,0,0.26477055,0.22844955,0,0.26400311,0.1531165,0,0,0.20924153,0.24622398,0.41045896,0,0,0.94193998
-0.9080005,1.092713,-0.5236829,1.2041688,0.32544888,0.30649807,-0.89881774,1.489299,-1.5707963,1.5707963,-0.78539816,0,-0.78539816,0.78539816,-1.5707963,0,0.14405666,0.26814912,0.32162166,0.27902422,0.26261879,0,0.39606732,0.3057291,0,0,0,0.43667271,0,0.21997523,0,0.3004493,1.423945
0.81285025,-1.212259,-1.2086663,-0.516294,-0.27435557,0.76398062,0.53302393,-1.289104,-1.5707963,0,0,0,-1.5707963,0.78539816,-0.78539816,0,0.35315567,0,0.22824681,0.35660077,0,0.29417427,0,0,0.28352437,0,0.31142597,0.29451125,0.28555151,0.39319032,0,0,1.0707518
-1.2779272,0.94676137,0.051629219,0.65271633,-0.23817037,-0.54036724,0.39210109,-1.0182942,0.78539816,1.5707963,1.5707963,0,0,1.5707963,0.78539816,-0.78539816,0.44139551,0.43874654,0.26248181,0.18932903,0.20463472,0.3666771,0.31854441,0,0.33047425,0.3262639,0.39515128,0,0,0,0.14746777,0.18325147,1.9927477
