"theta1	      u  [-3.1416","theta2	      u  [-3.1416","theta3	      u  [-3.1416","theta4	      u  [-3.1416","theta5	      u  [-3.1416","theta6	      u  [-3.1416","thetad1      u  (-Inf","thetad2      u  (-Inf","thetad3      u  (-Inf","thetad4      u  (-Inf","thetad5      u  (-Inf","thetad6      u  (-Inf","tau1     u  (-Inf","tau2     u  (-Inf","tau3     u  (-Inf","tau4     u  (-Inf","tau5     u  (-Inf","dm1   u	 [0","dm2   u	 [0","dm3   u	 [0","dm4   u	 [0","dm5   u	 [0","da1    u	 [0","da2    u	 [0","da3    u	 [0","da4    u	 [0","da5    u	 [0","db1      u	 [0","db2      u	 [0","db3      u	 [0","db4      u	 [0","db5      u	 [0","thetadd6     u  (-Inf"
-0.63480371,0.95941855,1.0374378,-0.5646171,-0.33894461,-0.93462155,0.0929537,0.90128764,0.43818087,-0.32975763,-0.46711362,0.061510679,7.1938693,17.361831,-29.712405,3.60553,-21.85775,1.1269515,1.0744752,1.1041225,1.6860992,1.1699958,1.0693041,1.3438982,1.6969004,1.0550123,1.5922338,0.67291153,1.4240999,1.4478579,0.69839422,1.3116833,0.0029804171
-0.3447501,0.45267094,-0.89684102,-0.47387214,0.82500774,0.48582761,-0.0088642028,0.55915328,0.87145708,0.47416017,-0.38224117,-0.71289368,-26.304933,12.995044,7.7087574,-8.9150058,-34.502454,1.1338568,1.6311696,0.91731276,1.4755254,1.6046196,0.94161011,1.3911491,0.99289327,1.257106,1.4305107,1.043824,1.499655,0.80117379,1.4778648,1.0239626,0.0073601116
0.86853178,-0.31079073,-0.56202358,-0.73196619,-0.3071933,0.52384862,-0.93208578,0.92847948,0.035629123,0.65943588,-0.39996747,0.44090214,-24.661912,-22.746776,34.93457,-14.676179,17.456635,1.5300067,1.6724308,1.3945109,0.79404074,1.2926812,0.84233646,1.3488455,0.84602048,1.3161312,1.2176195,1.3816536,1.0027845,1.5986112,0.75901473,1.6604939,0.017890735
0.30494992,-0.84344352,-0.2608823,0.38614732,0.38999545,-0.90787632,0.98062534,-0.99578519,-0.8976165,-0.31263848,-0.82952923,0.49034909,-31.365783,5.2934373,-3.1999498,-21.556588,18.422354,1.3926468,0.9652239,1.3681167,1.3373645,1.0847283,1.2279164,1.1907334,1.0063071,0.95382172,0.83169654,1.0236936,1.2691598,1.3687173,0.93129822,1.3292275,0.036988925
-0.72890867,0.50080034,0.93872243,0.65794475,0.92790258,-0.86382777,0.20297921,0.64444817,0.59974537,-0.82205306,0.79289211,-0.49834799,22.084887,-29.311574,20.376626,29.951843,30.632306,0.98238088,0.97539009,1.0812249,1.1461787,0.82610401,1.5300198,0.84266483,1.6178692,1.0278073,1.1073935,1.0123972,1.4603488,1.6815208,0.86926391,1.3684798,-0.053497035
-0.073837023,-0.67807081,-0.522926,1.0447981,-0.011133552,-0.19684588,-0.92001366,-0.69302317,1.0709307,-0.62282838,-0.089881472,0.15401208,3.9115613,11.609979,-31.087482,-7.3181415,-6.0049521,1.3965392,1.2840006,0.89890254,0.75497885,1.0295053,1.2954836,0.69246561,1.4195324,1.3315967,0.74585156,0.92721674,0.98180808,0.79833605,1.0340159,1.5059373,0.01448754
0.44767217,0.85417312,0.26580749,1.024142,0.28268825,1.0533532,0.83296745,0.11869291,0.27457624,1.059953,-0.39915013,0.98327485,-14.254168,-29.808333,1.3412179,1.8490707,-2.6693352,1.2722536,0.86550358,1.1686677,0.79853575,1.2403415,1.0693452,0.98442227,1.6851403,0.80261199,1.4997659,1.6160137,1.3416413,1.5655166,1.0378526,0.8892536,-0.016280477
0.3355527,-1.0953533,-0.81255226,-0.062487072,0.95668086,-0.99256879,0.38157932,0.5846512,0.58752746,0.54830835,-1.0719354,-0.86914582,31.392353,21.277627,-16.916159,30.119972,-13.624829,0.83755254,0.74547675,0.92776743,0.78720897,0.92113808,0.66764068,1.0368839,1.4082967,1.4930198,1.6339876,1.0293561,0.88721519,0.67566628,1.5231853,1.4760066,-0.071233942
0.24838202,0.63662483,1.059731,0.2671312,-0.91841904,-0.28162704,-0.8104592,-0.070364583,0.5062517,0.19694039,0.30920656,0.32630099,-14.380042,24.639453,-4.7173698,25.16622,28.66383,1.3699584,0.79030427,1.4939416,1.3760793,0.76496473,0.86230002,0.87637777,1.231226,1.1657685,1.4217646,1.0479215,1.0668775,1.5109028,0.84359864,1.5624201,-0.0033724657
0.66963423,-0.52733228,-0.44071532,-0.48351422,-0.69401994,-0.28786412,-0.079657612,0.45546145,-0.17818432,0.45060897,-0.36660709,0.35451922,31.904562,19.973341,-28.062732,9.6713774,6.8402321,1.5317087,0.87822642,0.80140757,1.2070865,0.75211588,1.2116566,0.91255541,1.3187058,1.4379446,1.0355563,1.1452448,0.87914533,1.5454998,1.6648636,1.2619794,0.017913352
