"theta1	      u  [-3.1416","theta2	      u  [-3.1416","theta3	      u  [-3.1416","theta4	      u  [-3.1416","theta5	      u  [-3.1416","theta6	      u  [-3.1416","thetad1      u  (-Inf","thetad2      u  (-Inf","thetad3      u  (-Inf","thetad4      u  (-Inf","thetad5      u  (-Inf","thetad6      u  (-Inf","tau1     u  (-Inf","tau2     u  (-Inf","tau3     u  (-Inf","tau4     u  (-Inf","tau5     u  (-Inf","dm1   u	 [0","dm2   u	 [0","dm3   u	 [0","dm4   u	 [0","dm5   u	 [0","da1    u	 [0","da2    u	 [0","da3    u	 [0","da4    u	 [0","da5    u	 [0","db1      u	 [0","db2      u	 [0","db3      u	 [0","db4      u	 [0","db5      u	 [0","thetadd6     u  (-Inf"
-0.75280539,-0.89240755,-0.73029557,-0.81757415,-0.89905918,-0.36952359,-0.2826401,-0.2440708,-0.74866156,0.58030659,0.13853446,-0.51397798,-9.7016336,-25.355679,7.103799,-26.450748,12.284984,0.78100887,0.66613259,0.89036297,1.080466,0.99185077,1.5858946,1.2306066,1.2558893,0.93225758,0.6531526,1.1357932,1.6269274,1.0182463,1.0654982,1.4285099,0.021157509
-0.33279773,-0.98241555,-0.50372725,0.44828243,0.11530393,0.49300879,-0.26610591,0.55761704,-0.75784996,0.08892688,-0.80403722,0.1072492,-23.457042,-2.5108656,9.8821802,-20.19684,-18.293276,0.94864053,0.90132505,1.5700961,1.3555705,1.5231164,1.3673784,1.5289765,1.1580997,1.6816141,1.3882917,1.2682085,1.1302772,1.3191655,0.76460909,1.1848937,0.022910735
0.8018961,-0.90719117,-0.69866043,0.88748215,-0.68360808,0.97409857,-0.73547722,0.058964887,-0.77795139,0.90795053,0.26662756,-0.58662934,-26.973761,-28.005192,-3.2640094,21.793741,-22.586869,1.0623156,1.4875343,0.78937101,1.5586438,1.0262867,0.75131327,1.3721743,1.2832924,1.5945629,0.96832719,1.0250329,0.67734073,1.3156102,0.86058032,1.3734717,-0.019973197
-0.28659183,-0.68742727,0.55927517,0.72080555,-0.34491159,-0.062385078,0.47177285,-0.92184247,-0.64214097,0.79244434,0.77242687,0.80340368,7.6503611,-10.380295,-21.616903,-15.280376,12.722955,0.94560326,1.3040104,1.2025708,1.507135,1.5678012,1.6350889,1.6893689,1.5238102,1.4778993,1.6031452,1.3621671,1.0928721,1.6010164,1.2821493,1.283951,0.0084920779
-0.12587811,-0.084888046,0.51215046,0.37716466,-1.0417521,0.62460751,-0.79589325,0.63782457,-0.76730637,-0.50867384,0.87729303,-0.40124024,33.121677,-33.974925,-26.562358,26.456418,13.010609,1.0146923,1.1834107,0.78327696,0.98590685,1.4365055,0.99805804,0.91153575,0.98135079,1.5127436,1.331837,1.6344753,0.82607224,0.9961084,0.69394971,1.1628115,-0.01674616
-0.21530372,-1.065623,-0.33460566,-0.5805649,-0.081628804,0.31236042,0.55445027,0.99608383,-0.68051101,0.24785877,0.63885668,-1.0136891,-16.854082,23.450754,-33.179555,-28.788381,-6.3162104,1.6767759,0.92314584,0.81213722,0.94017577,1.4341924,0.9711389,1.0314624,1.6391947,1.395076,0.8420853,1.3275672,1.2722271,1.4703597,0.88469951,1.4446029,0.034835755
0.97472209,0.94758316,0.040316805,0.27715919,0.48929583,-1.0945146,0.08913627,0.5160673,0.23412226,0.67633756,-0.01934032,0.41624103,12.049727,9.7666328,-2.2024463,13.485096,-15.995936,1.5695528,1.6735417,1.1659684,1.6315909,1.698182,1.5948127,0.96740948,1.3510822,1.6886383,0.79382359,0.79310744,1.3566602,0.93845227,0.81726225,0.97662256,-0.011010714
-0.79513066,0.2599722,-0.28841966,-0.62003964,0.59908611,-0.90661381,0.20855866,-0.14366902,-0.01711168,0.48804793,-0.076794093,0.20210202,-28.766948,3.8990089,10.64276,22.87222,-26.602965,0.78457139,0.69133937,1.3908201,0.71406584,1.1545088,1.1802416,1.0709585,0.80007992,0.94321276,1.0267736,1.58461,1.6897991,1.4029101,1.2597403,1.605177,-0.021907066
-0.66125743,0.57294511,-0.43555075,0.55182581,0.86907247,-0.019848957,0.66404063,0.022996565,-0.54094781,-0.5689973,0.81291993,-0.35530352,-31.492027,-16.502028,-9.582895,10.28294,-4.627718,1.0541422,1.6681928,1.5669218,1.5554789,1.3844186,1.272617,0.67353007,1.319968,1.6518398,0.77073507,1.2443689,1.5578226,0.87480348,1.0220877,1.5774002,-0.0091241159
0.18983226,-0.40494827,0.29494202,0.28568958,0.91709511,0.021458898,0.0048677555,0.4451175,-0.29900045,-0.32306809,-0.19073123,0.689726,21.976878,-24.617966,15.838178,-17.737723,12.090498,1.0999614,1.051547,1.0997172,1.1465901,1.4391845,0.87382094,1.3085127,1.273028,1.2817703,1.214224,1.0135761,1.3237198,0.65843395,1.6993444,1.1812395,0.01133928
-0.27944561,0.66696271,0.75376697,-0.53919931,0.22954208,0.66621582,-0.80354632,-0.43857756,0.26002703,0.63307904,0.84174493,0.30122842,12.211518,-1.0152917,15.992537,-13.43891,22.241457,1.3576417,1.6834553,0.8324632,1.3090609,1.0360174,1.5447215,1.1848275,1.4965253,0.7009709,1.5678375,1.1942908,0.94475978,0.77762799,1.5936407,1.2184369,0.013768754
0.61490432,1.0562717,-0.69539206,0.84116336,-0.67684871,0.22490392,-0.31819101,0.41099854,0.23261625,-0.44493268,-0.99298987,-0.098136541,-1.4227259,28.246498,-1.1000139,-7.932782,23.732106,1.2575633,0.71647297,0.66116341,1.3734685,0.985068,0.987846,1.4777482,1.1637318,0.79073988,1.4651453,1.4472263,1.6326702,0.93761826,1.5000236,0.69653787,0.0070563116
0.91516284,0.53260284,1.0584427,0.60599487,0.8549274,-0.25160957,0.095762227,-0.27632426,0.34869447,-0.13318265,0.29820402,0.13214573,-4.2222077,17.354442,-13.884954,15.581874,14.548729,1.3324352,1.1889641,0.67011926,0.6943399,1.420666,1.4828347,1.6032247,1.6476811,1.2259235,1.2966709,0.69781363,1.0037297,0.68448634,0.66185694,1.4795847,-0.0084981685
0.84774741,0.025631412,-0.23936442,-0.81669827,0.62716798,0.45471227,0.42494395,-0.69217071,0.0043910719,-0.96916027,0.16703963,-0.83466843,-3.7758152,29.873238,-30.492479,-17.09233,9.2032655,0.86426117,1.2875643,0.94345376,0.87738697,1.39278,1.1036727,1.4775933,0.66130517,1.6559652,0.80672742,1.3677641,0.66105571,1.6632927,1.1101266,0.7472254,0.014642524
-0.53972487,0.19296293,-0.56650958,0.84084998,0.65349081,0.84048296,1.0823825,0.52541465,-1.0012231,0.069579124,-0.51277449,0.1303187,-1.6537079,-3.8686192,10.116663,0.75801729,-0.0034024171,1.3672336,1.1959,0.69059995,1.5634,1.1638441,1.6271841,1.1324091,1.449492,0.8615861,1.477584,1.5544706,1.2373441,1.0927746,1.0131079,0.8051934,0.0021458258
-0.81593851,0.20169253,1.0104365,0.84152732,1.0419993,-0.86811575,0.70569036,0.71148025,-0.93800592,0.38899103,-0.19631242,-0.7505133,7.8229035,19.539255,26.26096,17.958715,-7.8736972,0.67655958,0.78684328,1.0750883,0.9097274,1.0384628,1.6950347,1.1982882,0.93022434,1.1304817,1.6053423,1.5383387,1.0083298,1.3486783,1.1867546,1.3349226,-0.0099560233
-0.37920275,-0.22581793,0.35025838,-0.23786089,0.26280067,1.0681659,-0.90921148,0.5318065,0.86901769,-0.94055594,-0.68616469,-0.21167279,18.564589,25.052678,10.358962,13.06823,-22.254048,0.96817784,1.6649648,0.86342701,0.91781927,1.5883924,1.2113875,1.6402468,1.2280443,1.2413023,1.467422,0.86228109,1.6081971,1.219026,0.86917496,0.92358378,-0.018781848
-0.73822635,0.035825332,-0.44111554,-0.61265748,-0.6785722,-0.15335797,-0.12475864,-1.0619875,-0.80730336,0.19101931,-0.24618494,-1.0951775,-1.8123578,-10.296817,-18.597382,-16.19108,-33.476455,1.493286,0.8586336,1.2048877,1.5974454,1.1144972,0.7036732,0.78551011,0.71835476,0.78852884,1.0542684,1.6884631,0.99922064,1.5512742,1.0657309,1.1395047,0.017384564
-0.35416379,0.57315111,0.82758507,-0.17912911,-0.034688873,-0.25045199,-0.24079225,-0.62407428,0.96143506,-0.25693389,0.77373988,0.87998117,25.342105,-25.24708,12.319079,-13.23411,34.316929,1.6943189,0.71762627,1.1447494,0.95274581,1.6488801,1.4286111,1.6667348,1.2122208,0.94521645,1.1029155,1.3500139,1.5843712,0.82664196,1.1214403,0.84737813,0.011733422
-0.29497444,-0.83057532,0.50169721,0.61871361,-0.89446813,-0.17675782,0.2354901,-0.5247011,-0.20086809,-0.34867051,0.53581877,0.13065817,-30.042809,-19.494757,21.618199,-32.930699,23.740747,1.3360148,1.5006888,1.3769239,1.3098616,0.84359867,1.5628063,1.6861166,1.46234,1.5489579,0.98620213,1.1492657,1.2592068,1.0389401,1.3157445,1.0170177,0.029107407
