"theta1	      u  [-3.1416","theta2	      u  [-3.1416","theta3	      u  [-3.1416","theta4	      u  [-3.1416","theta5	      u  [-3.1416","theta6	      u  [-3.1416","thetad1      u  (-Inf","thetad2      u  (-Inf","thetad3      u  (-Inf","thetad4      u  (-Inf","thetad5      u  (-Inf","thetad6      u  (-Inf","tau1     u  (-Inf","tau2     u  (-Inf","tau3     u  (-Inf","tau4     u  (-Inf","tau5     u  (-Inf","dm1   u	 [0","dm2   u	 [0","dm3   u	 [0","dm4   u	 [0","dm5   u	 [0","da1    u	 [0","da2    u	 [0","da3    u	 [0","da4    u	 [0","da5    u	 [0","db1      u	 [0","db2      u	 [0","db3      u	 [0","db4      u	 [0","db5      u	 [0","thetadd6     u  (-Inf"
-1.7401807,-2.1306206,0.10336791,-1.5671344,-1.2853146,-0.69133238,1.5279243,2.0161694,-1.0295267,0.63763789,0.80742561,-1.2780879,-55.829076,-69.28689,-54.752783,19.970995,-47.493702,2.475346,2.1399076,0.67769382,1.9999633,2.1331314,1.5401919,1.2552086,1.7905894,2.1859226,2.301153,1.7286334,0.39216498,2.3667643,1.9569616,1.6538788,-0.0014699771
0.76679131,-0.92228064,-1.7233158,-1.426237,1.1582769,0.2804585,1.2770291,-1.9038696,-1.214811,1.4526886,0.45006724,0.89586181,21.220862,-40.978981,66.263149,-65.247723,31.522055,1.2426925,0.68323882,0.69488143,0.62216052,2.4018791,0.38262795,1.8279184,1.8244721,2.402558,0.54280517,0.67655025,0.77997741,2.0803161,0.37335332,1.1992062,0.033311715
-0.6637066,-0.69203661,-0.88337313,1.8854693,-1.7327852,-0.35614744,-1.0360656,-0.87654858,-1.224004,-2.2567772,0.36448217,-0.25388296,-73.17709,-37.349399,18.649072,-65.044366,-0.65827036,1.9217519,1.6338284,2.2546447,0.81285231,1.1087123,1.1281722,1.9395491,1.5012752,1.9326414,2.4032036,2.3923189,1.7039995,0.37031264,1.844586,0.70773954,-0.034916122
-1.3542113,0.60899618,0.089989329,-0.22621507,0.90117262,0.39009559,1.4034945,-1.6866448,2.2923186,-1.4927584,-0.031501169,-1.6525814,-3.6439001,-43.028581,-31.363402,-24.694798,4.5342869,1.4914114,0.40174456,1.3707603,2.1179183,2.3527258,2.2625314,0.61458963,1.1579463,0.60362373,1.3539529,0.8862881,2.3441219,1.6566964,1.846551,2.2324018,0.013534662
-1.8789443,-1.6978039,-1.4747116,1.6889632,-1.0273537,-0.54031396,-0.28322092,-0.58120875,0.40688098,0.77219964,0.44016583,-0.58354505,-36.930704,5.660511,36.208916,13.246825,39.38044,2.3809158,1.302055,1.6382853,0.66030048,2.1701387,0.27188441,1.3112527,0.97341604,1.9533559,1.8024409,1.1244142,1.7797219,1.7866252,0.8093289,0.39075151,-0.01677216
-0.55354276,-1.137385,2.1317923,0.74029458,1.4241569,1.5806958,-1.6948192,1.5644702,-1.0793218,-2.1766376,-0.47205989,1.7524938,55.12176,31.426042,27.490947,40.342722,40.136125,1.6426738,2.4185323,1.2723055,1.1387695,2.2984919,2.002606,1.549129,0.71105727,2.4894848,1.2710653,0.54377692,1.2587644,0.8026081,2.1842725,1.5683411,-0.026957313
1.0149933,0.14371246,-2.0801955,-0.63230909,-0.78172722,-0.34893219,-2.2914318,2.2611163,1.8773035,-2.3162817,-0.70186357,-1.1113743,33.16821,58.111338,27.253185,-55.714549,55.579672,0.28826818,2.1733776,0.70671074,1.4373872,1.4158337,1.4170869,2.229678,1.9474136,0.93108587,1.5102227,1.5636324,1.4704909,2.0411643,1.5986007,1.932066,0.049320358
0.7501713,-2.223846,-2.2224513,-2.3433411,1.6136064,0.084545981,-2.17717,0.0041586903,-0.79072756,-0.82121421,0.44012692,-1.2375171,48.860393,-53.375463,68.588026,8.9487557,-48.263355,1.9418627,2.1364461,0.99958159,0.71783113,1.5877531,1.866888,2.0368388,0.89992232,1.9945025,0.35382742,1.5274377,0.64518667,2.402407,0.25457862,0.70282857,0.025539924
0.13571209,0.11690618,-0.22404644,-0.34969276,-0.93714661,-1.8190238,1.6460785,-0.79453134,1.2221115,-1.2764122,-1.8652292,-2.0950948,-40.991799,0.82942204,-9.9037139,48.279855,-60.474409,1.4741031,2.0015864,2.4118867,2.0800004,1.8164821,0.86485765,2.1625521,1.0123853,2.1591367,2.1107565,1.2342329,0.2529131,1.9604552,1.8700441,1.0817607,-0.044402014
-2.0390696,-2.1493976,0.24924312,-0.28470242,-1.9187002,-0.71677349,-1.9458067,0.80671613,0.93496898,-1.7936746,-1.1359344,-1.7613555,3.9814929,16.951026,45.899383,-19.066592,-52.210578,1.3273073,0.80409794,2.4741246,1.8629044,0.33406747,2.4220088,1.2024601,1.7467154,0.54656747,0.90942088,1.8868042,1.5181006,1.2174866,2.2974491,2.4762503,0.024022471
