"theta1	      u  [-3.1416","theta2	      u  [-3.1416","theta3	      u  [-3.1416","theta4	      u  [-3.1416","theta5	      u  [-3.1416","theta6	      u  [-3.1416","thetad1      u  (-Inf","thetad2      u  (-Inf","thetad3      u  (-Inf","thetad4      u  (-Inf","thetad5      u  (-Inf","thetad6      u  (-Inf","tau1     u  (-Inf","tau2     u  (-Inf","tau3     u  (-Inf","tau4     u  (-Inf","tau5     u  (-Inf","dm1   u	 [0","dm2   u	 [0","dm3   u	 [0","dm4   u	 [0","dm5   u	 [0","da1    u	 [0","da2    u	 [0","da3    u	 [0","da4    u	 [0","da5    u	 [0","db1      u	 [0","db2      u	 [0","db3      u	 [0","db4      u	 [0","db5      u	 [0","thetadd6     u  (-Inf"
1.2272146,-0.33075052,1.6950686,-2.0862674,0.99062414,0.54961182,1.043389,1.4394474,-0.61228953,1.1074605,-0.84737621,-1.0124016,31.909067,45.688298,33.222613,72.464102,54.157504,1.7526425,1.1624463,1.985594,1.3783613,1.6179785,1.3647203,1.8548806,0.47748005,0.75724227,2.4708327,0.53576044,1.5256712,2.4554851,1.3379254,1.5124803,-0.036174131
-0.24890161,1.3119767,1.1239811,-1.2177694,-1.1451395,-0.96290005,-1.1173823,-0.97491235,-0.37536616,1.1098731,2.001697,0.77663315,-14.13901,-34.345494,-44.712664,14.261073,-14.141637,2.4475659,0.98975295,2.0277626,1.3560123,1.7494705,1.8513242,1.4564278,1.9314004,1.7962015,2.0078555,2.0276347,1.4568287,1.9205441,1.5850069,0.71100053,-0.0025446698
0.33692345,-1.6190464,-1.979442,0.98533949,1.2658833,-0.73560266,2.0347291,-0.11540182,1.9459106,0.94003687,-1.4405045,1.6959858,-25.709862,44.350435,47.765938,2.1159463,12.708664,1.2928387,1.9892682,2.3798293,1.0418833,0.68250115,1.7967679,0.27834023,1.8142438,1.4960794,2.356649,0.7005474,1.3501992,0.79732091,1.0726057,1.7839711,-0.0064772392
-0.36150648,-1.5700565,1.4394407,-0.72496066,1.8240133,2.1013573,-1.8425032,-1.8434073,1.8108505,-2.3553389,-2.1140532,0.52086129,-47.843398,46.002746,68.153767,60.354229,73.528918,0.63280646,1.3281766,1.9144013,1.8418348,1.7175034,2.3289303,0.58145425,2.2515535,0.60972658,0.42462465,1.1664946,0.27473779,2.0179936,1.4180908,1.102657,0.028190441
-1.609751,-1.2594003,1.3105433,0.59587774,1.0906024,-1.4390887,1.9285256,0.91851546,-0.2969019,0.38972762,-0.0686371,0.95155814,-32.164266,15.188208,-31.793875,-59.652725,16.658841,0.40218069,1.9508027,1.6412663,1.2633019,0.56437609,0.96891502,0.55481523,2.2796506,0.3373554,1.4321317,0.83700762,2.0870626,1.2606974,1.7914185,0.37022131,0.036669479
-2.2315196,0.75319993,1.5545027,1.0427708,0.47458186,-1.7772969,0.80537322,1.9265061,-0.036545544,-1.6103883,2.1669643,-1.8857824,37.679789,-15.79195,-65.310661,23.728378,-47.152127,0.83810822,0.33483698,1.8550762,1.5158289,1.2860374,2.4309208,2.4864773,2.4732522,0.69935046,1.4832468,0.42879765,1.5520997,1.1389867,1.4491703,1.454841,-0.018864625
1.8602699,-1.1450443,0.63688259,2.2502618,-1.4835636,-1.0031862,0.37689506,1.024467,-0.85235709,0.096903346,-1.8320542,-0.58592525,39.703365,-55.545958,39.077139,69.482616,44.319006,0.91790652,0.50484505,1.6808266,2.4029641,0.61680828,2.4467081,2.3227297,2.1172684,0.4304503,2.3282657,0.66157395,1.0733999,1.6322313,2.4111921,1.6548203,-0.0028767667
0.92249577,0.6267299,1.2601231,1.4136885,-0.0027396283,1.0789575,0.76642897,-2.2998128,-1.9388103,0.58490637,0.47788458,1.895345,-21.853387,60.116779,-17.29486,25.28291,-20.136315,0.90939478,1.4480149,2.2862395,0.82729508,0.8484777,1.3647012,1.5331757,0.33381398,0.41157211,2.2924975,0.2552748,1.1535774,1.4247744,0.93402237,1.3638943,-0.024614328
0.2010564,0.37207344,0.098087807,-0.7743719,0.74977231,0.49506302,-1.554843,-2.0497975,1.3297463,-1.8142757,1.3380172,0.53504136,38.258673,-36.488746,-66.360991,70.822668,66.582705,2.2077401,2.2373279,2.2701994,1.2413301,0.28415305,0.51035345,2.0105099,1.6406983,0.7163151,0.85793188,0.51114207,1.7647011,1.3310524,0.74761206,0.3658482,-0.066950969
-0.65823341,1.7603879,-2.2515792,-1.8083634,1.7446828,-2.3126743,-1.3324234,-0.76751547,-1.8238585,0.5013275,0.059850108,2.161905,-66.669687,-17.435607,59.759279,-25.794591,-29.696192,0.56651856,0.97744323,2.1383056,0.75216411,0.37226263,0.86796321,0.35766521,0.77911344,1.0595739,1.0083218,1.3641117,0.62602529,2.1070128,1.3135757,1.7672998,-0.001588664
1.8493223,-1.358637,1.6242793,0.39292884,1.8980051,1.6110057,-1.2151177,1.011083,0.39691318,-1.8230019,0.76098722,0.48858121,-67.148619,33.154958,-14.616174,45.955534,24.663232,2.3490297,0.89272892,0.34487701,1.8479857,1.5959151,1.7954066,2.1483606,0.99634116,0.25592165,0.77510277,1.1522529,1.6643263,1.8316602,1.7132388,0.40456908,0.017552122
0.45550454,-1.9673266,1.9748076,1.2360658,2.347421,0.98438119,-0.70305844,-2.3439827,0.25422591,-1.3618841,-1.1132843,1.9276377,4.2220342,9.7282001,1.8590455,44.978225,-50.971905,0.8528335,0.32264144,1.6346136,1.9514822,1.8114104,1.1253069,1.0332592,1.9876161,1.6144402,0.3968303,2.0268002,0.93060932,0.25084753,0.99450468,0.89014569,0.029860423
1.1593389,-0.71903868,-2.3177745,-2.228554,-1.2400228,1.8333063,-1.9320015,1.9226484,1.1004321,-1.1646176,1.5355156,-2.3443963,-63.165458,-71.851156,47.620349,-44.790968,48.206602,2.2504503,2.3188445,2.0701088,2.0679695,2.113995,1.6646569,0.63904176,0.3748791,2.0930759,1.0774267,1.8098731,2.2875056,1.8561992,2.3891399,2.2738736,0.010457696
1.8185817,0.34745704,1.060563,-2.0853506,2.2611523,-2.2296855,-1.4077691,0.52978447,-2.3275687,-1.906993,-1.8733985,1.9747882,28.93456,3.1549434,-74.865757,-68.78453,-11.590493,2.1037391,0.2935209,0.45575023,2.2941935,1.7609778,1.7539708,0.98801381,2.0481224,1.5431001,0.63282946,1.7146838,2.1909531,1.3495727,1.5189309,1.6721417,-0.050871719
-1.967452,-0.13260367,0.29004294,2.1414164,2.2699763,-0.0089846544,-0.20863893,-0.57711072,-1.4032899,0.41387888,0.57628027,1.583066,14.09075,-26.767285,-27.766922,-28.665117,25.376795,2.2419914,1.8999825,0.25565769,0.83874883,2.1016573,1.304256,0.3803298,1.4530134,0.79667656,1.4929201,1.0075081,1.1881419,1.8511926,1.4936921,0.48274979,-0.024635423
0.42048452,-1.5002267,1.6837761,1.3283843,-1.1445244,-0.048967006,1.679594,1.7260168,-0.30217472,1.3047871,-1.900982,0.19290744,2.2838215,-15.81165,53.603397,12.292548,50.858267,2.4983701,2.1058156,1.4422386,1.9547307,2.4095985,1.8725778,0.91446839,1.2202133,0.87541558,1.8596657,2.1521995,0.26715826,0.62885421,2.4027343,1.2553462,-0.0031209099
1.0011081,-2.3178562,1.1107961,-1.335754,-0.19556561,-2.3361425,0.07783474,-1.8756668,1.5496381,-0.60647394,-0.11021919,-0.48502751,18.322413,-5.1970085,-46.12153,35.441178,9.881695,1.8497248,1.5741642,0.72747701,1.7061556,0.60792063,1.5720198,0.68693505,2.0673429,0.58183666,1.9287479,2.2167189,2.3941336,0.70378317,1.7337471,0.83786749,-0.038388754
-1.2274153,1.669312,-1.4374024,1.995464,-0.30929858,-0.61610941,-1.8322717,0.47167756,1.246415,1.9277443,1.9244975,-0.80915676,14.545872,-27.52285,23.462545,-15.000937,29.24458,0.829719,1.0872067,1.9336963,2.1342853,0.68324229,0.75313309,0.90791767,1.3722922,0.86555985,0.46446645,0.28769594,1.5556365,2.0828928,0.92969889,0.6992019,0.016997939
-0.2905368,-1.017016,-1.153431,1.0541553,-1.3937645,0.2864282,-2.0627467,0.46130309,1.2412238,-0.49827966,-0.6710719,-1.9585123,-21.625264,-5.8094883,9.9297247,-61.117652,-4.3706052,2.0235725,0.68254755,0.3267204,0.43969321,2.4238378,0.44227651,0.84122783,1.0161793,0.67551725,1.4184099,1.9645222,0.47390188,1.3689298,0.60274444,2.3257798,0.011784677
0.53758015,1.4599313,-0.34454595,0.74233427,-1.9939037,-1.7422755,0.36080749,-0.75320628,-1.6610885,-1.7223338,0.94205113,-0.57362568,19.766756,-30.129867,7.3221518,63.405488,56.031455,1.6848389,2.3375443,1.3569199,1.2524968,1.2139256,0.94800002,2.2863846,1.0162931,0.33746795,1.0739021,1.0723131,1.3665303,0.77396062,2.2061276,2.1373426,0.034936152
-2.2168174,-1.902075,0.67271591,1.3151984,-1.2775563,-2.2445243,-1.0459696,2.3121396,1.7704334,1.6495011,0.1798979,-1.8097024,-60.816122,-36.555458,12.42474,22.601711,66.95919,0.37152259,1.9301935,1.7618724,1.0393106,2.4428069,2.0054605,2.2739899,1.9485961,0.55400814,2.2147428,0.68238978,2.1750369,1.5955413,2.2622036,1.856479,0.0015529268
-2.162565,0.42604758,-2.2495497,-0.68438792,0.43369693,-0.92141533,-1.3172758,-0.65123413,1.5875559,0.50604641,-0.7400548,-2.1065703,-30.198549,52.98121,55.188657,-44.239315,19.828036,0.62212295,1.7703733,2.1642716,0.66227314,1.5746523,2.1805549,2.08554,0.41999021,2.0254057,2.2429774,0.4709263,0.85832455,0.36074947,0.86628172,1.346908,0.053901521
